id,name,category,x,y,visitorReviewCount,visitorReviewScore,searchName
20293573,요거프레소 제주연동점,카페,126.48119,33.49054,126,4.58,주연커피숍
-2,-2,-2,-2.0,-2.0,-2,-2.0,잠바주스용산미군기지점 용산미군기지점
1797039443,W스타일도넛 강남점,빵류제조,127.05676,37.51043,134,-1.0,w카페 대치점
-2,-2,-2,-2.0,-2.0,-2,-2.0,엔제리너스 강동롯데시네마점
30982517,커피볶는집 와플에숍,카페,126.847336,37.532814,657,4.43,커피볶는집와플에숍 와플에숍
1465262582,에버플로잉,"카페,디저트",126.64449,37.63897,61,4.62,카페플로잉
38275082,뉴웨이브 커피 로스터스,카페,126.873856,37.524273,90,-1.0,뉴웨이브커피로스터스
1565842036,더리버마리나Cafe,"카페,디저트",126.98452,37.507004,309,4.51,동작노을카페
36203162,스타벅스 미아사거리역점,카페,127.03056,37.611885,5068,4.46,스타벅스미아사거리역점 미아사거리역점
19882656,드롭 오가닉 커피,카페,127.63694,37.293446,294,4.46,드롭오가닉커피
12947829,스타벅스 가로수길점,카페,127.021736,37.52319,2498,4.49,스타벅스 가로수길점
20573062,카페엔,카페,127.11294,37.321995,169,4.62,카페엔
35658270,언커먼그라운드,카페,127.057335,37.54343,257,4.47,언커먼그라운드커피카페
34130075,스타벅스 당산점,카페,126.89994,37.535164,3484,4.46,스타벅스 당산점
-2,-2,-2,-2.0,-2.0,-2,-2.0,네스카페디엠씨상암
1164988300,공차 어린이대공원역점,차,127.073746,37.547222,1153,4.41,공차어린이대공원역점 어린이대공원역점
-2,-2,-2,-2.0,-2.0,-2,-2.0,WAFFINGCOFFEE 역삼점
1923595975,비온더스테이지 컴퍼니,"노래,발성,보컬학원",127.01054,37.486706,-1,-1.0,스테이지비
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페디키미
1242507366,바비공방 별관2호점,퓨전음식,126.983986,37.56612,235,4.45,퓨전2
37827574,커피베이 서울역점,카페,126.972374,37.553482,377,4.13,커피베이 서울역점
31148548,세컨스텝,카페,127.02491,37.573704,195,4.42,세컨스텝
31992315,야카모즈로스팅,카페,127.02554,37.519875,46,4.65,야카모즈로스팅
-2,-2,-2,-2.0,-2.0,-2,-2.0,고려대학교교육관로즈버드커피전문점
35021301,피프티,시각디자인,127.030235,37.51105,1,-1.0,피프티
11673783,프린세스다이어리,테마카페,126.94608,37.557964,97,4.78,프린세스다이어리
31357268,카페띠아모 광희점,아이스크림,127.00741,37.563953,30,4.39,카페띠아모 광희점
33675052,투썸플레이스 서울대역중앙점,카페,126.95208,37.481983,991,4.44,투썸플레이스서울대역중앙점 서울대역중앙점
33434383,커피마마 종암점,카페,127.03349,37.59824,216,4.14,커피마마 종암점
31576485,심리카페점컴,테마카페,126.92464,37.55627,90,4.65,심리카페COM
-2,-2,-2,-2.0,-2.0,-2,-2.0,꼼지락커피하우스
11817031,별당,한식,127.10721,37.73155,533,4.19,별당
33595796,커피엔진,카페,127.0368,37.564865,145,4.45,커피엔진
1219025319,에프터 커피,카페,126.96977,37.576668,81,4.33,애프터커피숍
34357084,이디야커피 개봉중앙점,카페,126.85492,37.486412,249,4.44,이디야커피 개봉중앙점
