상호명,지점명,상권업종소분류명,지번주소,도로명주소,경도,위도,상호지점명,id,name,category,visitorReviewCount,visitorReviewScore
이디야커피,양재점,커피전문점/카페/다방,서울특별시 서초구 서초동 1365-22,서울특별시 서초구 남부순환로 2561,127.030559918032,37.4843413043288,이디야커피 양재점,39228402,이디야커피 양재점,카페,400,4.44
스타벅스,아현역점,커피전문점/카페/다방,서울특별시 서대문구 북아현동 142-27,서울특별시 서대문구 북아현로 29,126.956144217185,37.5600799504002,스타벅스 아현역점,619519485,스타벅스 아현역점,카페,1871,4.47
탐앤탐스,강서구청사거리점,커피전문점/카페/다방,서울특별시 강서구 등촌동 657-3,서울특별시 강서구 공항대로 395,126.851533400997,37.5567119224622,탐앤탐스 강서구청사거리점,20742713,탐앤탐스 강서구청사거리점,카페,728,4.41
컴포즈커피,가산SKV1점,커피전문점/카페/다방,서울특별시 금천구 가산동 371-41,서울특별시 금천구 가산디지털1로 171,126.880398452512,37.4814819459092,컴포즈커피 가산SKV1점,1951070370,컴포즈커피 가산SKV1점,카페,508,4.55
이디야커피,불광중앙점,커피전문점/카페/다방,서울특별시 은평구 불광동 276-32,서울특별시 은평구 불광로 59,126.931719290279,37.6123287409882,이디야커피 불광중앙점,1617945702,이디야커피 불광중앙점,카페,447,4.38
이디야커피,건대스타시티2호점,커피전문점/카페/다방,서울특별시 광진구 자양동 227-342,서울특별시 광진구 능동로 90,127.070902015585,37.53835036397,이디야커피 건대스타시티2호점,1935355757,이디야커피 건대스타시티2호점,카페,407,4.53
41ST,,커피전문점/카페/다방,서울특별시 노원구 상계동 1121-41,서울특별시 노원구 동일로242길 67,127.05896810966,37.6746915112231,41ST,36505258,41st,카페,260,4.27
이디야커피,마곡퀸즈파크9점,커피전문점/카페/다방,서울특별시 강서구 마곡동 797-7,서울특별시 강서구 마곡중앙6로 66,126.835117705954,37.559191118332,이디야커피 마곡퀸즈파크9점,1884586498,이디야커피 마곡퀸즈파크9점,카페,470,4.63
커피에이엠,,커피전문점/카페/다방,서울특별시 강서구 화곡동 980-21,서울특별시 강서구 화곡로 296,126.849070558215,37.5505338813029,커피에이엠,1690002693,커피 에이엠,"카페,디저트",131,4.34
빽다방,신대방역점,커피전문점/카페/다방,서울특별시 관악구 신림동 518-36,서울특별시 관악구 난곡로 363,126.91344555382,37.4863227686677,빽다방 신대방역점,1983988040,빽다방 신대방역점,"카페,디저트",442,평점없음
엔제리너스,명동점,커피전문점/카페/다방,서울특별시 중구 명동1가 59-12,서울특별시 중구 명동3길 10,126.983684048921,37.5641226334086,엔제리너스 명동점,12785727,엔제리너스 명동점,카페,1492,4.38
커피마드레,,커피전문점/카페/다방,서울특별시 은평구 신사동 187-1,서울특별시 은평구 은평터널로 129,126.905154585203,37.5909741135535,커피마드레,1011047799,커피마드레,카페,1,평점없음
55커피,,커피전문점/카페/다방,서울특별시 관악구 신림동 1587-24,서울특별시 관악구 관천로 29-1,126.927455553481,37.4823600228561,55커피,1768913602,55커피,카페,5,평점없음
커피빈,코리아고대안암역점,커피전문점/카페/다방,서울특별시 성북구 안암동5가 101-3,서울특별시 성북구 개운사길 8,127.029558656269,37.5869806658445,커피빈 코리아고대안암역점,12971553,커피빈 고대안암역점,카페,1307,4.45
더나더나,,커피전문점/카페/다방,서울특별시 마포구 노고산동 33-12,서울특별시 마포구 고산길 31,126.938867908791,37.5539880826602,더나더나,34269105,더나더나,"카페,디저트",6,평점없음
일리카페,대학로점,커피전문점/카페/다방,서울특별시 종로구 혜화동 85-3,서울특별시 종로구 창경궁로 285,127.001643921963,37.5864505156016,일리카페 대학로점,1082229387,일리카페 대학로점,카페,275,4.47
카페베르누이,베르누이,커피전문점/카페/다방,서울특별시 구로구 오류동 31-277,서울특별시 구로구 경인로 229,126.845950671607,37.4974233092131,카페베르누이 베르누이,1954797474,까페 베르누이,"카페,디저트",-1,평점없음
코끼리콩물,,커피전문점/카페/다방,서울특별시 강북구 번동 417-99,서울특별시 강북구 한천로 1017,127.028296330095,37.6387619492439,코끼리콩물,1345992441,코끼리콩물,"차,커피",175,4.46
이디야커피,YTN점,커피전문점/카페/다방,서울특별시 중구 봉래동1가 132-2,서울특별시 중구 세종대로1길 11,126.972536771411,37.5581964038656,이디야커피 YTN점,18692000,이디야커피 YTN점,카페,246,4.43
라콤커피,,커피전문점/카페/다방,서울특별시 영등포구 여의도동 61-4,서울특별시 영등포구 63로 32,126.938764169754,37.5189906407326,라콤커피,1023140187,라콤커피,"카페,디저트",14,4.33
커피에반하다,신월동점,커피전문점/카페/다방,서울특별시 양천구 신월동 114-28,서울특별시 양천구 월정로 157,126.836456738654,37.5327589909118,커피에반하다 신월동점,1223886043,커피에반하다 신월동점,카페,185,4.4
커피빈,코리아강남에스점,커피전문점/카페/다방,서울특별시 서초구 서초동 1306-2,서울특별시 서초구 강남대로 423,127.02579578825,37.500304869454,커피빈 코리아강남에스점,11684187,커피빈 강남에스점,카페,1567,4.51
숙이카페,,커피전문점/카페/다방,서울특별시 광진구 중곡동 18-124,서울특별시 광진구 용마산로22길 27,127.088232815528,37.5637959796195,숙이카페,36339299,숙이카페,카페,87,4.31
모노레일에스프레소잠실삼성생명점,,커피전문점/카페/다방,서울특별시 송파구 신천동 7-22,서울특별시 송파구 올림픽로 295,127.103216592365,37.5149114270102,모노레일에스프레소잠실삼성생명점,21617583,모노레일 잠실삼성생명점,테이크아웃커피,1,평점없음
할리스커피광나루역점,광나루역점,커피전문점/카페/다방,서울특별시 광진구 광장동 580,서울특별시 광진구 천호대로 808,127.103254217532,37.5448447757503,할리스커피광나루역점 광나루역점,610770441,할리스 광나루역점,카페,877,4.28
"망원,그커피",,커피전문점/카페/다방,서울특별시 마포구 망원동 57-426,서울특별시 마포구 월드컵로 99,126.908600098694,37.5573974162522,"망원,그커피",1569436311,망원그커피,"카페,디저트",97,4.41
카페드렌,,커피전문점/카페/다방,서울특별시 강서구 내발산동 714-8,서울특별시 강서구 강서로45길 49-10,126.832923460067,37.5474830614593,카페드렌,1699489574,카페드렌,"카페,디저트",57,평점없음
커피앤스모킹,,커피전문점/카페/다방,서울특별시 마포구 동교동 170-12,서울특별시 마포구 어울마당로 151-1,126.926683138321,37.5568423628041,커피앤스모킹,1334814723,커피앤스모킹,"카페,디저트",7,평점없음
